Importer,Value
Indonesia,123951.4743
Indonesia,2372846.748
Indonesia,8.102
Indonesia,445922.1841
Indonesia,35.326
Indonesia,21076.11886
Iran,29595.837
Iran,960138.735
Iran,106.341
Iran,153049.638
Iran,5158.956
Iraq,215417.119
Iraq,148513.157
Iraq,96306.514
Iraq,10.75
Ireland,6768.216556
Ireland,40848.77926
Ireland,0.254
Ireland,2930.650839
Ireland,
Ireland,91.015
Israel,7803.604724
Israel,224360.6778
Israel,92829.53407
Israel,1
Israel,11226.15892
Italy,59427.90364
Italy,1638338.48
Italy,133.52
Italy,178364.4796
Italy,18989.865
Italy,34416.00746
Cote d'Ivoire,1075.393703
Cote d'Ivoire,119415.4893
Cote d'Ivoire,14074.75429
Cote d'Ivoire,18.746
Jamaica,418.5528642
Jamaica,58518.12594
Jamaica,3890.400755
Japan,595600.7824
Japan,843908.9473
Japan,1592.82856
Japan,948938.2338
Japan,79486.63844
Japan,489831.5317
Kazakhstan,18243.38312
Kazakhstan,138637.4228
Kazakhstan,15758.85164
Kazakhstan,10701.25906
Jordan,18768.44961
Jordan,281463.0113
Jordan,14254.48681
Jordan,21.24139578
Kenya,19616.985
Kenya,255050.877
Kenya,27769.478
Kenya,658.824
Korea Dem. Rep.,26933.808
Korea Dem. Rep.,119751.473
Korea Dem. Rep.,19247.109
Korea Dem. Rep.,388.541
Korea Dem. Rep.,1291.474
Korea Rep.,706089.0383
Korea Rep.,6320745.288
Korea Rep.,318.4883353
Korea Rep.,1191578.915
Korea Rep.,40477.01595
Korea Rep.,352282.0559
Kuwait,29407.40382
Kuwait,134726.9
Kuwait,34738.74862
Kuwait,473.36
Kyrgyzstan,3998.590814
Kyrgyzstan,55953.56675
Kyrgyzstan,5404.309642
Kyrgyzstan,2004.278473
Lao PDR,6541.183
Lao PDR,36345.043
Lao PDR,3237.525
Lebanon,30288.802
Lebanon,256929.703
Lebanon,16972.599
Lebanon,32.408
Lesotho,24.453
Lesotho,476.552
Lesotho,22.605
Latvia,346.0498236
Latvia,5718.083545
Latvia,
Latvia,4443.307939
Latvia,179.7393125
Liberia,5.617
Liberia,9162.828
Liberia,1140.432
Libya,1043.543
Libya,17789.776
Libya,10489.797
Lithuania,458.0282606
Lithuania,5949.009623
Lithuania,10243.37271
Lithuania,1.307
Lithuania,5.51863567
Luxembourg,192.82
Luxembourg,42.41134115
Luxembourg,259.9213541
Luxembourg,152.0723823
Macao SAR,84984.56174
Macao SAR,28188.49284
Macao SAR,6906.65753
Madagascar,3244.295981
Madagascar,29628.07042
Madagascar,3493.930338
Madagascar,2.404
Madagascar,15.069
Malawi,180.9105727
Malawi,16464.01247
Malawi,368.6121757
Malaysia,139328.3588
Malaysia,1591645.101
Malaysia,131.40501
Malaysia,1049648.909
Malaysia,761.104
Malaysia,11792.53293
Maldives,5813.542141
Maldives,11203.55568
Maldives,1695.110477
Mali,25.916
Mali,3897.784
Mali,565.45
Malta,218.3969589
Malta,868.2118733
Malta,937.5229083
Mauritania,17.239
Mauritania,38548.556
Mauritania,4033.253
Mauritius,1281.983308
Mauritius,21128.20633
Mauritius,23852.45418
Mauritius,0.215
Mexico,32353.16985
Mexico,649890.5628
Mexico,253758.7662
Mexico,3.725
Mexico,70326.63338
Other Asia nes,350754.1792
Other Asia nes,2027340.376
Other Asia nes,150.059086
Other Asia nes,996323.4525
Other Asia nes,67629.9393
Other Asia nes,105847.1594
Mongolia,56663.66217
Mongolia,72885.67477
Mongolia,5715.937357
Mongolia,1531.689385
Moldova,73.17681041
Moldova,6762.42874
Moldova,2248.775072
Moldova,0.057
Montenegro,227.5017274
Montenegro,6570.123523
Montenegro,352.6056851
Montenegro,2276.252
Morocco,2435.279967
Morocco,60886.14865
Morocco,11747.24608
Morocco,397.5198185
Mozambique,15128.97264
Mozambique,61304.06995
Mozambique,4978.123194
Oman,10304.69733
Oman,248619.5305
Oman,6731.64358
Oman,1568.78163
Namibia,3057.016
Namibia,40497.547
Namibia,1600.818
Nauru,24.538
Nauru,51.122
Nepal,218.4283777
Nepal,36251.82237
Nepal,10582.27933
Nepal,0.068
Nepal,0.458
Oceania nes,0.108
Oceania nes,9.667
Oceania nes,7.693
Netherlands,135512.7
Netherlands,120999.4531
Netherlands,199.513
Netherlands,118908.282
Netherlands,3.485
Netherlands,314638.8057
Curacao,40.155
Curacao,295.929
Curacao,548.756
Aruba,75.6698417
Aruba,542.1797785
Aruba,549.1675458
New Caledonia,315.5605004
New Caledonia,5735.964651
New Caledonia,2405.835676
Vanuatu,162.978
Vanuatu,2773.119
Vanuatu,307.251
New Zealand,21350.56292
New Zealand,37609.07267
New Zealand,65.338
